M,R,D,slope_eV_per_spec,intercept
1.2,10.0,5.6,-6.720507804295998,169.17757967439127
1.2,12.0,5.6,-5.934938863938188,154.4348385202831
1.2,14.0,5.6,-5.403694402084115,144.06007964645264
1.2,16.0,5.6,-5.078232871947243,136.4478039328711
1.4,10.0,5.6,-6.896312167640291,174.54411936947574
1.4,12.0,5.6,-6.087317925361117,158.06829301099125
1.4,14.0,5.6,-5.496477770656741,146.6339403976969
1.4,16.0,5.6,-5.133882525420994,138.351568601494
1.6,10.0,5.6,-7.085137974512501,180.81449239364034
1.6,12.0,5.6,-6.2612824212589615,162.2448251040496
1.6,14.0,5.6,-5.607276819267465,149.54734128285767
1.6,16.0,5.6,-5.1924450353723675,140.44952935835815
1.8,10.0,5.6,-7.296765553289087,188.1851098631517
1.8,12.0,5.6,-6.450689772346038,166.9777643885145
1.8,14.0,5.6,-5.734423649933061,152.8027971702311
1.8,16.0,5.6,-5.255323679495205,142.784725599063
2.0,10.0,5.6,-7.541670818620229,197.01676052760808
2.0,12.0,5.6,-6.624324596753405,172.32187312503768
2.0,14.0,5.6,-5.881448235335551,156.50305196774156
2.0,16.0,5.6,-5.339545569908725,145.41359448249284
2.2,10.0,5.6,-7.8383344620298985,207.83811939650707
2.2,12.0,5.6,-6.8006496755132595,178.47122066778587
2.2,14.0,5.6,-6.048102451316587,160.66465644153766
2.2,16.0,5.6,-5.447771753121954,148.36866410454266
1.2,10.0,7.3,-7.539411135282855,186.28498409603762
1.2,12.0,7.3,-6.792569088890272,170.14208281434202
1.2,14.0,7.3,-6.159285149157426,158.42005277480825
1.2,16.0,7.3,-5.693648836445267,149.59126597575582
1.4,10.0,7.3,-7.720759113570028,192.0610276042267
1.4,12.0,7.3,-6.931772677253685,174.06546735486864
1.4,14.0,7.3,-6.283673265736568,161.30647434277043
1.4,16.0,7.3,-5.777669621717985,151.73896312772354
1.6,10.0,7.3,-7.920815246663935,198.80757926136903
1.6,12.0,7.3,-7.075321479864678,178.51627550873158
1.6,14.0,7.3,-6.422989938629152,164.53830432594964
1.6,16.0,7.3,-5.873560142925908,154.12869843895552
1.8,10.0,7.3,-8.150153431429256,206.74362760787633
1.8,12.0,7.3,-7.232529677494304,183.54745781723824
1.8,14.0,7.3,-6.566472715237355,168.1277675777889
1.8,16.0,7.3,-5.980838857427793,156.8143375783574
2.0,10.0,7.3,-8.418851244010746,216.24865936492577
2.0,12.0,7.3,-7.403899373935562,189.2829323992488
2.0,14.0,7.3,-6.69949837238923,172.10574766731688
2.0,16.0,7.3,-6.1003023425032765,159.77165916780635
2.2,10.0,7.3,-8.740828590999433,227.9189127704215
2.2,12.0,7.3,-7.591429831273338,195.89036653628577
2.2,14.0,7.3,-6.835756653924958,176.53006670949512
2.2,16.0,7.3,-6.23519737163842,163.03682825549802
1.2,10.0,8.8,-8.173806592965727,199.44879792652912
1.2,12.0,8.8,-7.376945138151062,182.1344083602425
1.2,14.0,8.8,-6.7637715387761075,169.60023595660394
1.2,16.0,8.8,-6.234056751070488,159.95756988105597
1.4,10.0,8.8,-8.361477017452286,205.5489842838718
1.4,12.0,8.8,-7.520148227175428,186.29219525057027
1.4,14.0,8.8,-6.880345350467574,172.65882286407043
1.4,16.0,8.8,-6.339173927390919,162.3015851720312
1.6,10.0,8.8,-8.572367952184624,212.65983518317233
1.6,12.0,8.8,-7.669189439637193,190.99159176458497
1.6,14.0,8.8,-7.000818023923334,176.04624495092222
1.6,16.0,8.8,-6.453961329379351,164.89393644687985
1.8,10.0,8.8,-8.813780419157423,221.00616516696965
1.8,12.0,8.8,-7.831190105517533,196.29237147976863
1.8,14.0,8.8,-7.128030794417705,179.81071020642872
1.8,16.0,8.8,-6.56984347604035,167.76270652228
2.0,10.0,8.8,-9.109484523825026,231.04622842821624
2.0,12.0,8.8,-8.011757012088182,202.33856325262573
2.0,14.0,8.8,-7.260482447174351,183.99491136102057
2.0,16.0,8.8,-6.684656311931792,170.88875439789723
2.2,10.0,8.8,-9.541388001142245,243.70077018749507
2.2,12.0,8.8,-8.213301967927631,209.31443894891044
2.2,14.0,8.8,-7.402729872948977,188.66502814886513
2.2,16.0,8.8,-6.79779936184277,174.3001790713507
